specialty,community,clinic_site,frequency,group,point_of_origin,consultant
Orthopaedic Surgery,Osage,Mitchell County Regional Health Center,1/WK,Mason City Clinic PC,Mason City,"Richard Elmer Rattay, MD"
Otolaryngology,Osage,Mitchell County Regional Health Center,1/WK,Mason City Clinic PC,Mason City,"Henry Richard Diggelmann, MD"
Pain Medicine Neurology,Osage,Mitchell County Regional Health Center,2/MO,Mason City Clinic PC,Mason City,"Ronald Francis Kloc, DO"
Urology,Osage,Mitchell County Regional Health Center,1/MO,Mason City Clinic PC,Mason City,"Christopher Edelen Adams, MD"
Urology,Osage,Mitchell County Regional Health Center,1/MO,Mason City Clinic PC,Mason City,"Elizabeth B Takacs, MD"
Allergy & Immunology,Osceola,Clarke County Hospital,1/MO,Allergy Institute PC,West Des Moines,"Fadi Hassan Alkhatib, DO"
Cardiovascular Disease,Osceola,Clarke County Hospital,1/MO,UnityPoint Clinic Cardiology - Methodist Plaza,Des Moines,"Craig A Stark, MD"
Gastroenterology,Osceola,Clarke County Hospital,1/MO,Iowa Digestive Disease Center - Clive,Clive,"Nagendra V Myneni, MD"
Gastroenterology,Osceola,Clarke County Hospital,1/MO,Iowa Digestive Disease Center - Clive,Clive,"Archana Verma, MD"
General Surgery,Osceola,Clarke County Hospital,1/WK,VA Medical Center - Des Moines,Des Moines,"Dapka Nicholas Baccam, MD"
General Surgery,Osceola,Clarke County Hospital,2/MO,Iowa Specialty Surgeons,West Des Moines,"Paul A Conte, MD"
Medical Oncology,Osceola,Clarke County Hospital,2/MO,Mission Cancer + Blood - John Stoddard,Des Moines,"Amy Elizabeth Hughes, DO"
Nephrology,Osceola,Clarke County Hospital,1/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Kanwaljit Kaur Chouhan, MD"
Ophthalmology,Osceola,Clarke County Hospital,1/MO,Wolfe Eye Clinic - Des Moines,West Des Moines,"Matthew Paul Rauen, MD"
Orthopaedic Surgery,Osceola,Clarke County Hospital,1/WK,Iowa Specialty Hospital/Clinics - Belmond,Belmond,"Gautam Kakade, MD"
Otolaryngology,Osceola,Clarke County Hospital,2/MO,Cass Health Surgery Center,Atlantic,"Richard J Rinehart, MD"
Psychiatry,Osceola,Clarke County Hospital,1/WK,Dallas County Fam Med - Perry,Perry,"Neeraja Kakade, MD"
Sleep Medicine IM,Osceola,Clarke County Hospital,2/WK,Iowa Sleep Disorders Center PC,West Des Moines,"Steven K Zorn, MD"
Urology,Osceola,Clarke County Hospital,1/MO,Greater Regional Medical Arts Plaza - 1st Floor,Creston,"Jonathan M Fialkov, MD"
Vascular Surgery,Osceola,Clarke County Hospital,1/MO,Iowa Clinic Cardiovascular - West Des Moines,West Des Moines,"Eric Christopher Scott, MD"
Medical Oncology,Oskaloosa,Mahaska Hospital,1/WK,Mission Cancer + Blood - MercyOne Des Moines,Des Moines,"Bradley K Hiatt, DO"
Nephrology,Oskaloosa,Mahaska Hospital,1/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Ivy Reyes Melgarejo, MD"
Ophthalmology,Oskaloosa,Mahaska Hospital,1/MO,Wolfe Eye Clinic - Pleasant Hill,Pleasant Hill,"Reid Philip Turner, MD"
Ophthalmology,Oskaloosa,Mahaska Hospital,1/MO,Wolfe Eye Clinic - Des Moines,West Des Moines,"Ryan David Vincent, MD"
Orthopaedic Surgery,Oskaloosa,Mahaska Hospital,1/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Steven Anthony Aviles, MD"
Otolaryngology,Oskaloosa,Mahaska Hospital,1/MO,UnityPoint Clinic ENT - Grinnell,Grinnell,"Joseph Keith Whitman, DO"
Sleep Medicine IM,Oskaloosa,Mahaska Hospital,2/MO,Broadlawns Pulmonary / Sleep Med,Des Moines,"Michael M McCubbin, MD"
Urology,Oskaloosa,Mahaska Hospital,2/MO,UIHC - Dept of Urology,Iowa City,"Aaron Christopher Smith, DO"
Vascular Surgery,Oskaloosa,Mahaska Hospital,1/MO,Iowa Clinic Cardiovascular - West Des Moines,West Des Moines,"Eric Christopher Scott, MD"
Pain Medicine Anes,Ottumwa,Ottumwa Regional Health Center,1/WK,Iowa Illinois Pain Consultants,Davenport,"Timothy J Miller, MD"
Psychiatry,Ottumwa,Southern Iowa Mental Health Center,PRN,Southern Iowa Mental Health Center,Ottumwa,"Hilda Maria Mascaro, MD"
Psychiatry,Ottumwa,Southern Iowa Mental Health Center,PRN,Southern Iowa Mental Health Center,Ottumwa,"Jimmy R Mascaro, DO"
Allergy & Immunology,Pella,Pella Regional Health Center,2/MO,Allergy Asthma & Sinus Center PC,West Des Moines,"Ravinder K Agarwal, MD"
Cardiovascular Disease,Pella,Pella Regional Health Center,2/MO,Iowa Heart Center - Mercy Medical Center,Des Moines,"Joel A From, MD"
Cardiovascular Disease,Pella,Pella Regional Health Center,1/MO,Iowa Heart Center - Mercy Medical Center,Des Moines,"Daniel Mohsen Shivapour, MD"
Cardiovascular Disease,Pella,Pella Regional Health Center,2/MO,Iowa Heart Center - Mercy Medical Center,Des Moines,"Gardar Sigurdsson, MD"
Hand Surgery,Pella,Pella Regional Health Center,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Michael A Gainer, MD"
Hematology-Oncology,Pella,Pella Regional Health Center,1/WK,Mission Cancer + Blood - John Stoddard,Des Moines,"Kartik Anand, MD"
Hematology-Oncology,Pella,Pella Regional Health Center,1/WK,Mission Cancer + Blood - MercyOne Des Moines,Des Moines,"Brian Paul Freeman, MD"
Medical Oncology,Pella,Pella Regional Health Center,1/WK,Mission Cancer + Blood - John Stoddard,Des Moines,"Emily Kathryn Brugioni, DO"
Neonatal - Perinatal Medicine,Pella,Pella Regional Health Center,1/WK,MercyOne Perinatal Center/Midwives,Des Moines,"Neil T Mandsager, MD"
Nephrology,Pella,Pella Regional Health Center,1/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Mark M Belz, MD"
Nephrology,Pella,Pella Regional Health Center,1/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Johann P Schmolck, MD"
Ophthalmology,Pella,Pella Regional Health Center,2/MO,Wolfe Eye Clinic - Des Moines,West Des Moines,"Ryan David Vincent, MD"
Orthopaedic Surgery,Pella,Pella Regional Health Center,1/WK,Iowa Orthopaedic Center - Des Moines,Des Moines,"Steven Anthony Aviles, MD"
Orthopaedic Surgery,Pella,Pella Regional Health Center,1/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Benjamin Robert Beecher, MD"
Orthopaedic Surgery,Pella,Pella Regional Health Center,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Joseph F Galles, MD"
Orthopaedic Surgery,Pella,Pella Regional Health Center,1/WK,Iowa Orthopaedic Center - Des Moines,Des Moines,"Ze-Hui Han, MD"
Orthopaedic Surgery,Pella,Pella Regional Health Center,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Mark R Matthes, MD"
Orthopaedic Surgery,Pella,Pella Regional Health Center,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Christopher Branden Vincent, MD"
Otolaryngology,Pella,Pella Regional Health Center,2/WK,Iowa ENT Center - West Des Moines,West Des Moines,"Arun Kumar Gupta, DO"
Otolaryngology,Pella,Pella Regional Health Center,2/WK,UnityPoint Clinic ENT - Grinnell,Grinnell,"Joseph Keith Whitman, DO"
Pain Medicine Neurology,Pella,Pella Regional Health Center,1/WK,Iowa Orthopaedic Center - Des Moines,Des Moines,"Thomas Gerard Klein, DO"
Pain Medicine Neurology,Pella,Pella Regional Health Center,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"John Wesley Rayburn, MD"
Plastic Surgery,Pella,Pella Regional Health Center,1/WK,Iowa Clinic - Plastic Surgery,West Des Moines,"Timothy M Schurman, MD"
Sleep Medicine IM,Pella,Pella Regional Health Center,1/MO,Broadlawns Pulmonary / Sleep Med,Des Moines,"Jason B Wittmer, MD"
Urology,Pella,Pella Regional Health Center,2/MO,Urology Center of Iowa,Clive,"Ryan Austin Dornbier, MD"
Urology,Pella,Pella Regional Health Center,1/MO,Urology Center of Iowa,Clive,"Richard L Glowacki, MD"
Urology,Pella,Pella Regional Health Center,2/MO,Urology Center of Iowa,Clive,"Stephanie Lynn Pothoven, DO"
Urology,Pella,Pella Regional Health Center,2/MO,Urology Center of Iowa,Clive,"Trevor Timothy Wild, MD"
Vascular Surgery,Pella,Pella Regional Health Center,1/MO,Iowa Clinic Cardiovascular - West Des Moines,West Des Moines,"Nicholas Mark Southard, DO"
Cardiovascular Disease,Perry,Dallas County Hospital,1/MO,Iowa Heart Center - West Des Moines,West Des Moines,"Mark D McGaughey, MD"
General Surgery,Perry,Dallas County Hospital,1/WK,Madison County Mem Hospital,Winterset,"Paul Allen Grossmann, MD"
Nephrology,Perry,Dallas County Hospital,1/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Kanwaljit Kaur Chouhan, MD"
Nephrology,Perry,Dallas County Hospital,1/MO,Associates in Kidney Care PLC,Des Moines,"Robert Nelson Smith, DO"
Ophthalmology,Perry,Dallas County Hospital,PRN,Des Moines Eye Surgeons,West Des Moines,"Andrew Clyde Gavle Steffensmeier, MD"
Orthopaedic Surgery,Perry,Dallas County Hospital,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Benjamin Stanley Paulson, MD"
Orthopaedic Surgery,Perry,Dallas County Hospital,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Timothy Ryan Vinyard, MD"
Otolaryngology,Perry,Dallas County Hospital,2/MO,Iowa Clinic ENT/Allergy,West Des Moines,"Joseph Tyler Bertroche, MD"
Pain Medicine Neurology,Perry,Dallas County Hospital,2/MO,Medical Center Anesthesiologists,Des Moines,"Jolene Marie Smith, DO"
Plastic Surgery,Perry,Dallas County Hospital,2/MO,SOMA Med Spa & Wellness Clinic,Algona,"Harry M Condoleon, DO"
Psychiatry,Perry,Dallas County Hospital,2/MO,Dallas County Fam Med - Perry,Perry,"Neeraja Kakade, MD"
Urology,Perry,Dallas County Hospital,2/MO,Greater Regional Medical Arts Plaza - 1st Floor,Creston,"Jonathan M Fialkov, MD"
Cardiovascular Disease,Pocahontas,Pocahontas Community Hospital,2/MO,Iowa Heart Center - Fort Dodge,Fort Dodge,"Pallavi Satuluri, MD"
Orthopaedic Surgery,Pocahontas,Pocahontas Community Hospital,PRN,Iowa Spine Care,Spencer,"Daniel J McGuire, MD"
Orthopaedic Surgery,Pocahontas,Pocahontas Community Hospital,1/WK,"NW IA Bone, Joint & Sports - Spencer",Spencer,"Andrew Glen Pick, DO"
Otolaryngology,Pocahontas,Pocahontas Community Hospital,1/MO,Wellendorf ENT,Carroll,"Tracey G Wellendorf, MD"
Urology,Pocahontas,Pocahontas Community Hospital,2/MO,Northwest Iowa Urologists,Spencer,"David A Christ, MD"
Pain Medicine Anes,Primghar,MercyOne Medical Clinic - Primghar,1/MO,Dunes Pain Management,"Dakota Dunes, SD","Jeremy Bryan Poulsen, DO"
Cardiovascular Disease,Red Oak,Montgomery County Memorial Hospital,2/WK,The Heart Institute,"Omaha, NE","Mark D Chouinard, MD"
Cardiovascular Disease,Red Oak,Montgomery County Memorial Hospital,2/WK,The Heart Institute,"Omaha, NE","Michael Howard Peters, MD"
Endocrinology Diabetes Metaboli,Red Oak,Montgomery County Memorial Hospital,2/MO,University of Nebraska Med Ctr,"Omaha, NE","Sydney Lynn Blount, MD"
Endocrinology Diabetes Metaboli,Red Oak,Montgomery County Memorial Hospital,2/MO,Diabetes Center - Specialty Pavillion,"Omaha, NE","Leslie Anne Eiland, MD"
Gastroenterology,Red Oak,Montgomery County Memorial Hospital,1/MO,Midwest GI Associates PC,"Omaha, NE","John Joseph Cannella, MD"
General Surgery,Red Oak,Montgomery County Memorial Hospital,2/MO,Methodist Phy Clinic General Surgery,Council Bluffs,"Patrick John Ahrens, MD"
Neurological Surgery,Red Oak,Montgomery County Memorial Hospital,1/MO,MD West One,"Omaha, NE","John Samuel Treves, MD"
Neurology,Red Oak,Montgomery County Memorial Hospital,1/MO,Methodist Phyicians Clinic Pulmonary/Neurology,Council Bluffs,"Michael Wei-Chih Chen, DO"
Obstetrics & Gynecology,Red Oak,Montgomery County Memorial Hospital,1/MO,Methodist Phy Clinic OB/GYN - Council Bluffs,Council Bluffs,"Norman E Ferrer, MD"
Obstetrics & Gynecology,Red Oak,Montgomery County Memorial Hospital,1/MO,Methodist Phy Clinic OB/GYN - Council Bluffs,Council Bluffs,"Tana Lea Perry, MD"
Obstetrics & Gynecology,Red Oak,Montgomery County Memorial Hospital,3+/WK,Atlantic Medical Center / Walk In Clinic,Atlantic,"Marcela Pineda, MD"
Ophthalmology,Red Oak,Montgomery County Memorial Hospital,2/MO,Midwest EyeCare,"Omaha, NE","Michael Robert Feilmeier, MD"
Orthopaedic Surgery,Red Oak,Montgomery County Memorial Hospital,2/WK,Miller Orthopedic Specialists,Council Bluffs,"Thomas M Atteberry, MD"
Orthopaedic Surgery,Red Oak,Montgomery County Memorial Hospital,2/MO,Miller Orthopedic Specialists,Council Bluffs,"Thomas Frederick Satterly, DO"
Otolaryngology,Red Oak,Montgomery County Memorial Hospital,2/MO,Wellendorf ENT,Carroll,"Tracey G Wellendorf, MD"
Plastic Surgery,Red Oak,Montgomery County Memorial Hospital,1/MO,Dr Douglas J Ramos,"Omaha, NE","Douglas J Ramos, MD"
Pulmonary Disease,Red Oak,Montgomery County Memorial Hospital,1/MO,Pulmonary Medicine Spec PC,"Omaha, NE","Gary A Koenig, MD"
Pulmonary Disease,Red Oak,Montgomery County Memorial Hospital,1/MO,Methodist Phyicians Clinic Pulmonary/Neurology,Council Bluffs,"Bryan James Krajicek, MD"
Urology,Red Oak,Montgomery County Memorial Hospital,3/MO,University of Nebraska Med Ctr,"Omaha, NE","Christopher John Corder, MD"
Vascular Surgery,Red Oak,Montgomery County Memorial Hospital,2/MO,Surgery Center of the Heartland,"Omaha, NE","David Laurence Vogel, MD"
General Surgery,Rock Valley,Hegg Memorial Health Center,1/WK,Sioux Center Health,Sioux Center,"Nicholas Jon Mouw, MD"
General Surgery,Rock Valley,Hegg Memorial Health Center,1/WK,Floyd Valley Healthcare,Le Mars,"Shahid Iqbal Naqvi, MD"
Ophthalmology,Rock Valley,Hegg Memorial Health Center,1/MO,Ophthalmology Ltd,"Sioux Falls, SD","Bryan J Hammer, MD"
Orthopaedic Surgery,Rock Valley,Hegg Memorial Health Center,2/MO,Avera Ortho - Sioux Falls,"Sioux Falls, SD","Patrick Mark O'Brien, MD"
Orthopaedic Surgery,Rock Valley,Hegg Memorial Health Center,2/MO,Orthopedic Institute,"Sioux Falls, SD","Corey Patrick Rothrock, MD"
Otolaryngology,Rock Valley,Hegg Memorial Health Center,1/MO,Korver Ear Nose & Throat,Orange City,"Kurtis D Korver, MD"
Otolaryngology,Rock Valley,Hegg Memorial Health Center,1/MO,Midwest ENT Associates,"Sioux Falls, SD","Kenneth Mark Scott, MD"
Urology,Rock Valley,Hegg Memorial Health Center,1/MO,Urology Specialists Chartered,"Sioux Falls, SD","Matthew Nolan Witte, MD"
Cardiovascular Disease,Sac City,Loring Hospital,2/MO,Iowa Heart Center - Fort Dodge,Fort Dodge,"Pallavi Satuluri, MD"
General Surgery,Sac City,Loring Hospital,2/MO,Buena Vista General Surgery,Storm Lake,"John Gary Armstrong, MD"
General Surgery,Sac City,Loring Hospital,2/MO,Buena Vista General Surgery,Storm Lake,"Jason Michael Dierking, MD"
Orthopaedic Surgery,Sac City,Loring Hospital,2/MO,"CNOS, PC","Dakota Dunes, SD","Benjamin Todd Bissell, MD"
Orthopaedic Surgery,Sac City,Loring Hospital,1/WK,"CNOS, PC","Dakota Dunes, SD","Steven J Meyer, MD"
Urology,Sac City,Loring Hospital,1/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Timothy G Kneib, MD"
Cardiovascular Disease,Sheldon,Sanford Medical Center - Sheldon,2/MO,Sanford Cardiovascular Institute,"Sioux Falls, SD","Adam Tomasz Stys, MD"
Pediatric Cardiology,Sheldon,Sanford Medical Center - Sheldon,1/MO,Sanford Children's Specialty Clinic,"Sioux Falls, SD","Nofil Irfan Arain, MD"
Cardiovascular Disease,Shenandoah,Shenandoah Medical Center,2/MO,University of Nebraska Med Ctr,"Omaha, NE","Haysam Akkad, MD"
Cardiovascular Disease,Shenandoah,Shenandoah Medical Center,1/MO,University of Nebraska Med Ctr,"Omaha, NE","Scott William Lundgren, DO"
Cardiovascular Disease,Shenandoah,Shenandoah Medical Center,2/MO,Methodist Phyisican Clinic Heart Care,Council Bluffs,"Gina Grace Mentzer, MD"
Dermatology,Shenandoah,Shenandoah Medical Center,1/MO,Advanced Dermatology,"Maryville, MO","Melody Stone, MD"
Endocrinology Diabetes Metaboli,Shenandoah,Shenandoah Medical Center,2/MO,University of Nebraska Med Ctr,"Omaha, NE","Sydney Lynn Blount, MD"
Maternal & Fetal Medicine,Shenandoah,Shenandoah Medical Center,1/MO,Nebraska Medical Center,"Omaha, NE","Teresa Grace Berg, MD"
Medical Oncology,Shenandoah,Shenandoah Medical Center,1/MO,Montgomery County Memorial Hospital,Red Oak,"Rolando Daniel Breier, MD"
Nephrology,Shenandoah,Shenandoah Medical Center,1/MO,Omaha Nephrology PC,"Omaha, NE","Audai Ibrahim Ma'ayah, MD"
Nephrology,Shenandoah,Shenandoah Medical Center,1/MO,Omaha Nephrology PC,"Omaha, NE","Felipe Sebastian Naranjo, MD"
Neurological Surgery,Shenandoah,Shenandoah Medical Center,1/MO,MD West One,"Omaha, NE","Keith Raman Lodhia, MD"
Neurology,Shenandoah,Shenandoah Medical Center,1/MO,Neurology Consultants of NE,"Omaha, NE","Scott Howard Goodman, MD"
Orthopaedic Surgery,Shenandoah,Shenandoah Medical Center,2/MO,MD West One,"Omaha, NE","Michael Anthony Del Core, MD"
Orthopaedic Surgery,Shenandoah,Shenandoah Medical Center,1/WK,MD West One,"Omaha, NE","Kathleen Marie Grier, MD"
Orthopaedic Surgery,Shenandoah,Shenandoah Medical Center,2/WK,MD West One,"Omaha, NE","James Keith Mantone, MD"
Otolaryngology,Shenandoah,Shenandoah Medical Center,2/MO,Broadlawns ENT Clinic,Des Moines,"Matthew Robert Brown, MD"
Pulmonary Disease,Shenandoah,Shenandoah Medical Center,2/MO,Pulmonary Medicine Spec PC,"Omaha, NE","Gary A Koenig, MD"
Urology,Shenandoah,Shenandoah Medical Center,2/MO,The Urology Center PC,"Omaha, NE","Anthony Daniel Oberle, MD"
Vascular Surgery,Shenandoah,Shenandoah Medical Center,2/MO,Surgery Center of the Heartland,"Omaha, NE","David Laurence Vogel, MD"
Cardiovascular Disease,Sibley,Osceola Regional Health Center,1/MO,North Central Heart Institute,"Sioux Falls, SD","Michael D Hibbard, MD"
Cardiovascular Disease,Sibley,Osceola Regional Health Center,1/MO,North Central Heart Institute,"Sioux Falls, SD","Jeremy Wade Scott, MD"
Cardiovascular Disease,Sibley,Osceola Regional Health Center,1/MO,North Central Heart Institute,"Sioux Falls, SD","Bruce A Watt, MD"
General Surgery,Sibley,Osceola Regional Health Center,1/WK,Northwest Iowa Surgeons,Spencer,"Jeffre Duane Helmink, MD"
General Surgery,Sibley,Osceola Regional Health Center,1/MO,Northwest Iowa Surgeons,Spencer,"Jason Robert Keonin, MD"
General Surgery,Sibley,Osceola Regional Health Center,2/MO,Avera Medical Group - Worthington,"Worthington, MN","Connie Lynn Morrison, MD"
General Surgery,Sibley,Osceola Regional Health Center,1/MO,Northwest Iowa Surgeons,Spencer,"Jaren Heath Ricker, MD"
General Surgery,Sibley,Osceola Regional Health Center,1/WK,Northwest Iowa Surgeons,Spencer,"Patrick James Slattery, MD"
Orthopaedic Surgery,Sibley,Osceola Regional Health Center,1/MO,Avera Ortho - Sioux Falls,"Sioux Falls, SD","Bryce Jahnothan Braaksma, DO"
Orthopaedic Surgery,Sibley,Osceola Regional Health Center,1/MO,"NW IA Bone, Joint & Sports - Spencer",Spencer,"Christopher James Rierson, DO"
Urology,Sibley,Osceola Regional Health Center,1/MO,Urology Specialists,"Sioux Falls, SD","Brian D Lindaman, MD"
Orthopaedic Surgery,Sigourney,Keokuk County Health Center,1/MO,PRHC Medical Clinic/Urgent Care - Pella,Pella,"Nathan Allan Nicholson, MD"
Obstetrics & Gynecology,Sioux City,Siouxland Women's Health Care PC,2/MO,Siouxland Women's Health Care PC,Sioux City,"Kathleen Michele LaFavor, DO"
Cardiovascular Disease,Spencer,Avera Medical Group - Spencer,1/MO,North Central Heart Institute,"Sioux Falls, SD","Raymond H Allen, MD"
Cardiovascular Disease,Spencer,Avera Medical Group - Spencer,1/MO,North Central Heart Institute,"Sioux Falls, SD","Tarek Helmy Mahrous, MD"
Cardiovascular Disease,Spencer,Avera Medical Group - Spencer,1/MO,North Central Heart Institute,"Sioux Falls, SD","Christopher James Paa, MD"
Pediatric Cardiology,Spencer,Spencer Municipal Hospital,<1/MO,Avera Medical Group Pediatric,"Sioux Falls, SD","Sami Mohammed Awadallah, MD"
Rheumatology,Spencer,Spencer Municipal Hospital,1/MO,Avera Rheumatology - Sioux Falls,"Sioux Falls, SD","Jenna Marie King, DO"
Vascular Surgery,Spencer,Spencer Municipal Hospital,1/MO,North Central Heart Institute,"Sioux Falls, SD","Mark Donald Fleming, MD"
Vascular Surgery,Spencer,Spencer Municipal Hospital,1/MO,Vascular & Interventional Specialists,"Dakota Dunes, SD","Chad Roger Laurich, MD"
Allergy & Immunology,Spirit Lake,Lakes Regional Healthcare,1/MO,Midwest ENT Associates,"Sioux Falls, SD","Kenneth Mark Scott, MD"
Cardiovascular Disease,Spirit Lake,Lakes Regional Healthcare,2/MO,North Central Heart Institute,"Sioux Falls, SD","Michael D Hibbard, MD"
Cardiovascular Disease,Spirit Lake,Lakes Regional Healthcare,2/MO,North Central Heart Institute,"Sioux Falls, SD","Jeremy Wade Scott, MD"
Cardiovascular Disease,Spirit Lake,Lakes Regional Healthcare,2/MO,North Central Heart Institute,"Sioux Falls, SD","Bruce A Watt, MD"
General Surgery,Spirit Lake,Lakes Regional Healthcare,1/WK,Northwest Iowa Surgeons,Spencer,"Jeffre Duane Helmink, MD"
General Surgery,Spirit Lake,Lakes Regional Healthcare,1/WK,Northwest Iowa Surgeons,Spencer,"Jason Robert Keonin, MD"
General Surgery,Spirit Lake,Lakes Regional Healthcare,1/WK,Northwest Iowa Surgeons,Spencer,"Jaren Heath Ricker, MD"
General Surgery,Spirit Lake,Lakes Regional Healthcare,1/WK,Northwest Iowa Surgeons,Spencer,"Patrick James Slattery, MD"
Neurology,Spirit Lake,Lakes Regional Healthcare,1/MO,Neurology Associates,"Sioux Falls, SD","Todd Alan Zimprich, MD"
Obstetrics & Gynecology,Spirit Lake,Lakes Regional Healthcare,2/MO,Avera Medical Group - Spencer,Spencer,"Brian Patrick Wilson, DO"
Orthopaedic Surgery,Spirit Lake,Lakes Regional Healthcare,1/WK,Iowa Spine Care,Spencer,"Daniel J McGuire, MD"
Otolaryngology,Spirit Lake,Lakes Regional Healthcare,1/WK,NW Iowa Ear Nose & Throat Spec,Spencer,"Joshua John Espelund, MD"
Pediatric Cardiology,Spirit Lake,Lakes Regional Healthcare,<1/MO,Avera Medical Group Pediatric,"Sioux Falls, SD","Sami Mohammed Awadallah, MD"
Pulmonary Disease,Spirit Lake,Lakes Regional Healthcare,1/MO,Avera Pulmonary Associates,"Sioux Falls, SD","Dayna J Groskreutz, MD"
Urology,Spirit Lake,Lakes Regional Healthcare,3/MO,Northwest Iowa Urologists,Spencer,"Charlotte Jean Caligiuri, DO"
Cardiovascular Disease,Storm Lake,Buena Vista Regional Med Center,2/MO,UnityPoint - Sioux City Cardiovascular Associates,Sioux City,"Jon A Peacock, MD"
Maternal & Fetal Medicine,Storm Lake,Buena Vista Regional Med Center,1/MO,UnityPoint Clinic Maternal-Fetal Med,Sioux City,"Alfred D Fleming, MD"
Medical Oncology,Storm Lake,Buena Vista Regional Med Center,2/WK,June E Nylen Cancer Center,Sioux City,"Nibash Budhathoki, MD"
Medical Oncology,Storm Lake,Buena Vista Regional Med Center,2/WK,June E Nylen Cancer Center,Sioux City,"Donald B Wender, MD"
Nephrology,Storm Lake,Buena Vista Regional Med Center,1/MO,Renal Associates,"Dakota Dunes, SD","Ashar Luqman, MD"
Neurological Surgery,Storm Lake,Buena Vista Regional Med Center,1/MO,"CNOS, PC","Dakota Dunes, SD","Grant H Shumaker, MD"
Neurology,Storm Lake,Buena Vista Regional Med Center,2/MO,"CNOS, PC","Dakota Dunes, SD","William Joseph Andrews, MD"
Obstetrics & Gynecology,Storm Lake,Buena Vista Regional Med Center,2/MO,Siouxland OB & Gyn PC,Sioux City,"Hannah Irene Dewald, MD"
Ophthalmology,Storm Lake,Buena Vista Regional Med Center,1/MO,Wolfe Eye Clinic - Spencer,Spencer,"Stephen Paul Fox, MD"
Orthopaedic Surgery,Storm Lake,Buena Vista Regional Med Center,3+/WK,"NW IA Bone, Joint & Sports - Storm Lake",Storm Lake,"Seth William Harrer, MD"
Otolaryngology,Storm Lake,Buena Vista Regional Med Center,1/WK,Wellendorf ENT,Carroll,"Tracey G Wellendorf, MD"
Urology,Storm Lake,Buena Vista Regional Med Center,1/WK,Northwest Iowa Urologists,Spencer,"Charlotte Jean Caligiuri, DO"
Urology,Storm Lake,Buena Vista Regional Med Center,2/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Daniel Ames Olsen, DO"
Vascular Surgery,Storm Lake,Buena Vista Regional Med Center,2/MO,Vascular & Interventional Specialists,"Dakota Dunes, SD","Chad Roger Laurich, MD"
General Surgery,Sumner,Community Memorial Hospital and Clinic,3/MO,Cedar Valley Med Spec - General Surgery,Waterloo,"David Edward Henry, MD"
Nephrology,Sumner,Community Memorial Hospital and Clinic,<1/MO,Cedar Valley Med Spec - Neph/Rheum,Waterloo,"Tarek M Daoud, MD"
Nephrology,Sumner,Community Memorial Hospital and Clinic,<1/MO,Cedar Valley Med Spec - Neph/Rheum,Waterloo,"Vinay K Kantamneni, MD"
Orthopaedic Surgery,Sumner,Community Memorial Hospital and Clinic,2/MO,UnityPoint Clinic Ortho - United Medical Park,Waterloo,"Rafael Serrano, MD"
Otolaryngology,Sumner,Community Memorial Hospital and Clinic,1/MO,PCI ENT Clinic,Cedar Rapids,"Michael Steven Telisak, MD"
Cardiovascular Disease,Tama,MercyCare Tama,1/MO,Mercy Clinics Cardiology - Cedar Rapids,Cedar Rapids,"Shiny Mathewkutty, MD"
Nephrology,Tama,MercyCare Tama,1/MO,MercyCare Internists Assoc of IA & Nephrology,Cedar Rapids,"Fadi Y Yacoub, MD"
Cardiovascular Disease,Vinton,Virginia Gay Hospital,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Fahed Hassib Al Darazi, MD"
Cardiovascular Disease,Vinton,Virginia Gay Hospital,1/WK,Mercy Clinics Cardiology - Cedar Rapids,Cedar Rapids,"Ryan Donald Hollenbeck, MD"
Cardiovascular Disease,Vinton,Virginia Gay Hospital,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Keith Jon Kopec, MD"
Cardiovascular Disease,Vinton,Virginia Gay Hospital,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Laila Alexandra Payvandi, MD"
Cardiovascular Disease,Vinton,Virginia Gay Hospital,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Boothapuri Venkatesh, MD"
General Surgery,Vinton,Virginia Gay Hospital,2/MO,Compass Memorial Healthcare,Marengo,"George Maurice Miller, MD"
Medical Oncology,Vinton,Virginia Gay Hospital,2/MO,Oncology Assoc of Cedar Rapids,Cedar Rapids,"Jasmine Sabah Nabi, MD"
